# ----------------------------------------
# 1 Master View
# Demographics: Age Gender
# 20141001-20200229
# ----------------------------------------

Age,Gender,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
25-34,male,"482,345","452,492","652,534",41.00%,5.30,00:02:48,"12,222","$1,933,359.76",1.87%,25.74%
18-24,male,"311,710","298,265","385,927",46.43%,4.42,00:02:17,"3,366","$345,071.89",0.87%,18.38%
35-44,male,"260,897","247,069","366,554",39.39%,5.50,00:02:57,"10,060","$1,718,103.43",2.74%,29.12%
25-34,female,"209,810","196,366","294,480",41.93%,5.43,00:03:12,"7,114","$1,313,512.44",2.42%,26.93%
18-24,female,"140,928","133,969","178,169",49.86%,4.05,00:02:23,"1,624","$200,667.86",0.91%,16.71%
45-54,male,"106,871","99,747","136,331",43.70%,4.98,00:02:31,"2,882","$432,043.43",2.11%,23.90%
35-44,female,"89,741","84,697","125,851",43.11%,5.49,00:03:08,"3,238","$729,248.65",2.57%,28.59%
55-64,male,"46,207","44,009","55,410",49.42%,4.10,00:02:09,675,"$81,556.50",1.22%,18.34%
45-54,female,"43,206","41,300","55,401",46.94%,5.08,00:02:57,775,"$103,495.22",1.40%,23.59%
65+,male,"35,572","33,976","40,625",56.76%,3.22,00:01:44,228,"$38,038.44",0.56%,11.47%
55-64,female,"25,074","24,171","31,549",53.57%,4.34,00:02:15,265,"$20,473.97",0.84%,17.90%
65+,female,"16,044","15,478","19,191",58.98%,3.15,00:01:37,146,"$23,917.51",0.76%,11.74%
,,"1,768,405","1,671,539","2,342,022",43.63%,5.00,00:02:42,"42,595","$6,939,489.12",1.82%,23.87%

Day Index,Users,Avg. Order Value
10/6/15,"2,308",$0.00
10/7/15,"2,280",$0.00
10/8/15,"1,943",$0.00
10/9/15,"1,888",$62.34
10/10/15,"1,323",$0.00
10/11/15,"1,514",$0.00
10/12/15,"1,861",$90.18
10/13/15,"2,289",$117.28
10/14/15,"2,098",$71.93
10/15/15,"1,715",$398.80
10/16/15,"1,733",$36.22
10/17/15,"1,742",$0.00
10/18/15,"1,578",$46.01
10/19/15,"2,125",$115.39
10/20/15,"2,134",$28.93
10/21/15,"2,016",$128.42
10/22/15,"2,034",$166.38
10/23/15,"1,806",$19.91
10/24/15,"1,441",$199.67
10/25/15,"1,569",$32.55
10/26/15,"2,016",$190.85
10/27/15,"2,207",$36.74
10/28/15,"2,426",$92.28
10/29/15,"3,676",$41.79
10/30/15,"3,128",$42.25
10/31/15,"1,697",$25.79
11/1/15,"1,842",$106.40
11/2/15,"2,107",$18.49
11/3/15,"1,961",$64.22
11/4/15,"1,788",$48.40
11/5/15,"1,979",$83.12
11/6/15,"1,687",$65.44
11/7/15,"1,268",$93.36
11/8/15,"1,359",$30.56
11/9/15,"1,897",$13.53
11/10/15,"1,943",$47.92
11/11/15,"1,879",$126.70
11/12/15,"1,934",$281.13
11/13/15,"1,697",$9.77
11/14/15,"1,177",$19.45
11/15/15,"1,350",$9.98
11/16/15,"2,016",$109.23
11/17/15,"1,934",$0.00
11/18/15,"1,642",$87.63
11/19/15,"2,061",$238.51
11/20/15,"1,706",$161.38
11/21/15,"1,377",$28.81
11/22/15,"1,505",$35.33
11/23/15,"1,961",$131.16
11/24/15,"1,925",$37.16
11/25/15,"1,250",$41.10
11/26/15,"1,532",$0.00
11/27/15,"1,833",$59.33
11/28/15,"1,514",$53.29
11/29/15,"1,560",$26.05
11/30/15,"2,271",$70.00
12/1/15,"2,599",$218.68
12/2/15,"2,271",$122.24
12/3/15,"2,444",$59.17
12/4/15,"1,879",$327.98
12/5/15,"1,468",$185.94
12/6/15,"1,605",$67.34
12/7/15,"2,189",$44.67
12/8/15,"1,988",$61.80
12/9/15,"2,381",$57.35
12/10/15,"2,134",$28.56
12/11/15,"2,262",$139.09
12/12/15,"1,788",$76.82
12/13/15,"1,952",$37.17
12/14/15,"2,536",$27.84
12/15/15,"2,180",$56.44
12/16/15,"2,153",$70.57
12/17/15,"2,080",$69.88
12/18/15,"1,952",$171.42
12/19/15,"1,359",$44.42
12/20/15,"1,624",$52.54
12/21/15,"1,988",$90.45
12/22/15,"2,253",$125.66
12/23/15,"1,788",$0.00
12/24/15,"2,527",$24.41
12/25/15,"1,560",$20.55
12/26/15,"1,432",$0.00
12/27/15,"1,523",$0.00
12/28/15,"1,852",$31.23
12/29/15,"1,715",$30.83
12/30/15,"1,587",$45.65
12/31/15,"1,441",$25.70
1/1/16,"1,742",$42.17
1/2/16,"1,432",$24.65
1/3/16,"1,350",$0.00
1/4/16,"1,806",$102.81
1/5/16,"1,751",$77.06
1/6/16,"1,769",$8.82
1/7/16,"1,788",$25.46
1/8/16,"1,651",$139.21
1/9/16,"1,441",$0.00
1/10/16,"1,505",$111.23
1/11/16,"1,870",$82.40
1/12/16,"1,715",$173.07
1/13/16,"2,417",$98.43
1/14/16,"1,970",$199.39
1/15/16,"1,852",$305.50
1/16/16,"1,450",$38.22
1/17/16,"1,396",$35.00
1/18/16,"1,578",$250.67
1/19/16,"1,614",$709.28
1/20/16,"1,715",$251.25
1/21/16,"1,797",$50.26
1/22/16,"1,824",$73.40
1/23/16,"1,514",$54.85
1/24/16,"1,605",$0.00
1/25/16,"1,970",$43.05
1/26/16,"1,943",$67.43
1/27/16,"2,481",$101.59
1/28/16,"2,864",$250.46
1/29/16,"2,034",$100.03
1/30/16,"1,624",$27.72
1/31/16,"1,669",$241.77
2/1/16,"2,098",$217.91
2/2/16,"2,162",$99.99
2/3/16,"2,189",$181.26
2/4/16,"2,828",$35.56
2/5/16,"2,134",$145.09
2/6/16,"1,131",$24.95
2/7/16,"1,587",$48.75
2/8/16,"2,052",$275.71
2/9/16,"2,025",$191.54
2/10/16,"2,080",$93.13
2/11/16,"2,171",$40.50
2/12/16,"1,934",$245.30
2/13/16,"1,596",$50.91
2/14/16,"1,678",$34.67
2/15/16,"1,934",$39.12
2/16/16,"2,134",$184.09
2/17/16,"2,134",$17.74
2/18/16,"2,189",$130.79
2/19/16,"2,007",$42.51
2/20/16,"1,660",$29.95
2/21/16,"1,733",$66.26
2/22/16,"1,870",$99.55
2/23/16,"2,052",$0.00
2/24/16,"2,308",$28.92
2/25/16,"2,189",$84.32
2/26/16,"2,043",$55.24
2/27/16,"1,660",$87.32
2/28/16,"1,532",$13.45
2/29/16,"3,010",$111.62
3/1/16,"2,590",$60.71
3/2/16,"2,326",$186.39
3/3/16,"2,344",$91.42
3/4/16,"2,116",$27.25
3/5/16,"1,660",$42.10
3/6/16,"1,651",$67.80
3/7/16,"2,298",$64.17
3/8/16,"2,153",$64.96
3/9/16,"2,098",$17.61
3/10/16,"2,244",$91.27
3/11/16,"2,080",$56.94
3/12/16,"1,578",$41.95
3/13/16,"1,706",$44.47
3/14/16,"1,925",$38.31
3/15/16,"2,098",$73.03
3/16/16,"1,970",$61.64
3/17/16,"2,061",$67.19
