# ----------------------------------------
# 1 Master View
# Product Performance
# 20141001-20200229
# ----------------------------------------

Product,Year,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Cart-to-Detail Rate,Buy-to-Detail Rate
Unisex Google Striped Tee White,2019,$107.30,4,4,$26.82,1.00,$0.00,0.00%,0.00%
Youth Google T-Shirt,2015,$107.05,12,13,$8.23,1.08,$0.00,22.67%,2.43%
Go Gopher Pink Squishable,2014,$106.20,5,6,$17.70,1.20,$0.00,0.00%,3.60%
Google Women's Short Sleeve Hero Dark Grey,2017,$105.77,10,13,$8.14,1.30,$0.00,19.67%,1.28%
Google Men's Performance Tee Gunmetal,2016,$105.55,5,5,$21.11,1.00,$0.00,21.30%,4.63%
Android Women's Dash Tee Grey,2017,$105.54,6,6,$17.59,1.00,$0.00,8.73%,4.76%
Google Women's Coder Tee Navy,2017,$105.54,4,6,$17.59,1.50,$0.00,7.45%,1.42%
Android Wall Decals,2016,$105.12,6,6,$17.52,1.00,$0.00,5.16%,1.63%
Digital Lightshow Smart Speaker and Notification Center,2017,$104.99,1,1,$104.99,1.00,$0.00,5.00%,0.38%
Android SM S/F18 Sticker Sheet,2019,$104.65,4,35,$2.99,8.75,$0.00,45.01%,0.81%
Flip Flops,2015,$104.20,2,2,$52.10,1.00,$0.00,2.18%,0.11%
Google Dad Hat Navy,2019,$103.92,6,8,$12.99,1.33,$0.00,32.36%,0.88%
Ladies Android Soccer T-Shirt,2016,$103.90,8,8,$12.99,1.00,$0.00,9.81%,3.02%
Fiji Pens - Pack of 6,2014,$102.90,3,21,$4.90,7.00,$0.00,6.25%,4.69%
Sports Quart 32oz Bottle,2015,$102.60,4,36,$2.85,9.00,$0.00,20.69%,6.90%
Android Unwashed Chino Twill Cap,2015,$102.50,7,10,$10.25,1.43,$0.00,14.32%,0.93%
Members Only Jacket,2014,$102.50,1,1,$102.50,1.00,$0.00,0.00%,3.70%
Google Engraved Ceramic Mug,2017,$102.46,6,14,$7.32,2.33,$0.00,37.50%,12.50%
Bike Tube Under Seat Bag,2016,$102.00,2,3,$34.00,1.50,$0.00,2.06%,2.06%
Google Large Tote White,2020,$101.40,3,8,$12.68,2.67,$0.00,22.16%,0.59%
Google Women's Coder Tee Navy,2018,$101.15,5,5,$20.23,1.00,$0.00,5.63%,2.35%
Google Bib Red,2016,$100.70,7,10,$10.07,1.43,$0.00,20.69%,8.05%
Google Phone Stand Bamboo,2020,$100.00,6,20,$5.00,3.33,$0.00,27.03%,0.94%
Google Speckled Beanie Navy,2019,$100.00,5,5,$20.00,1.00,$0.00,23.03%,0.67%
Google Youth FC Tee Charcoal,2020,$100.00,4,4,$25.00,1.00,$0.00,23.10%,1.27%
Youth Jumbo Print Tee White,2019,$100.00,4,4,$25.00,1.00,$0.00,0.00%,0.00%
Google Men's Colorblock Tee White/Heather,2016,$99.98,2,2,$49.99,1.00,$0.00,33.33%,7.41%
Google Toddler FC Tee Charcoal,2019,$99.98,4,4,$25.00,1.00,$0.00,29.31%,0.40%
Android RFID Journal,2016,$99.95,3,5,$19.99,1.67,$0.00,6.14%,2.63%
Android Skate Kids Tee,2018,$99.95,5,5,$19.99,1.00,$0.00,33.22%,1.68%
Carabiner Flashlight,2017,$99.80,1,20,$4.99,20.00,$0.00,50.00%,50.00%
25 oz. Recycled Infuser Bottle,2014,$99.20,1,16,$6.20,16.00,$0.00,4.08%,2.04%
7in Dog Frisbee,2019,$99.00,10,66,$1.50,6.60,$0.00,33.83%,3.76%
Google Men's Softshell Moss,2019,$99.00,1,1,$99.00,1.00,$0.00,9.83%,0.34%
Google Men's Softshell Moss,2020,$99.00,1,1,$99.00,1.00,$0.00,15.83%,0.72%
YouTube Men's 3/4 Sleeve Henley,2017,$98.95,4,5,$19.79,1.25,$0.00,37.97%,5.06%
The 'Original' Black T-Shirt,2014,$98.40,6,6,$16.40,1.00,$0.00,0.00%,4.55%
Under the Nile Footed Sleeper,2015,$98.25,3,3,$32.75,1.00,$0.00,6.98%,0.84%
Tri-Blend G Logo Mens Polo,2015,$98.10,3,3,$32.70,1.00,$0.00,11.36%,1.70%
Google Sport Socks Summer 18,2019,$97.93,4,7,$13.99,1.75,$0.00,35.16%,0.76%
Android Mountains Tee,2019,$97.45,5,5,$19.49,1.00,$0.00,5.68%,1.09%
Waze Women's Typography Short Sleeve Tee,2018,$96.84,6,6,$16.14,1.00,$0.00,20.00%,1.46%
Google Women's Tee Grey,2019,$96.78,5,5,$19.36,1.00,$0.00,10.13%,0.96%
Performance Hoodie - Gray,2015,$96.30,2,2,$48.15,1.00,$0.00,1.39%,0.19%
Pen Pencil   Highlighter Set,2015,$96.25,7,25,$3.85,3.57,$0.00,18.39%,4.02%
Google Thermal Bottle White,2020,$96.00,2,4,$24.00,2.00,$0.00,3.30%,0.37%
YouTube Transmission Journal Red,2019,$96.00,6,6,$16.00,1.00,$0.00,16.18%,0.38%
Men's Lotus H2X Dry Full Zip Jacket,2016,$95.99,1,1,$95.99,1.00,$0.00,0.00%,0.00%
Google Bike Tee Grey,2019,$95.96,4,4,$23.99,1.00,$0.00,21.69%,0.41%
Google See-No Hear-No Set,2019,$95.96,6,8,$12.00,1.33,$0.00,4.48%,0.06%
YouTube Transmission Journal Black,2019,$95.94,6,6,$15.99,1.00,$0.00,10.02%,0.22%
Organic Basic T-Shirt,2014,$95.90,5,5,$19.18,1.00,$0.00,1.81%,3.01%
Google Mesh Bag Red,2019,$95.86,10,16,$5.99,1.60,$0.00,35.29%,1.30%
YouTube Ultimate Hooded Sweatshirt                ,2014,$95.40,3,3,$31.80,1.00,$0.00,0.00%,1.29%
YouTube Spiral Journal with Pen,2018,$95.03,2,17,$5.59,8.50,$0.00,25.42%,0.67%
Doggie Skins Tank,2016,$93.80,7,7,$13.40,1.00,$0.00,12.09%,3.26%
Heather Pocket T-Shirt - Light Blue,2015,$93.20,4,4,$23.30,1.00,$0.00,15.62%,2.50%
Porto Weekend Bag                                 ,2014,$93.20,1,1,$93.20,1.00,$0.00,0.00%,5.00%
Go Gopher Messenger Bag,2015,$93.08,3,3,$31.03,1.00,$0.00,2.43%,0.16%
Youth Classic T-Shirt,2015,$92.70,9,9,$10.30,1.00,$0.00,25.75%,3.01%
Google Mountain View Tee Blue,2019,$92.48,4,4,$23.12,1.00,$0.00,15.05%,0.82%
Android Women's Peace Tee Black,2019,$92.40,10,10,$9.24,1.00,$0.00,23.58%,3.14%
Google Sunglasses Red,2017,$92.40,4,28,$3.30,7.00,$0.00,0.00%,0.00%
Youth Brushed Tricot Jacket,2015,$92.35,2,2,$46.18,1.00,$0.00,2.89%,0.48%
Ingress Enlightened Symbol T-Shirt,2015,$91.95,7,8,$11.49,1.14,$0.00,6.17%,0.80%
YouTube Twill Sandwich Cap Black,2020,$91.00,7,7,$13.00,1.00,$0.00,16.95%,0.60%
Melissa   Doug Stacking Train,2015,$90.20,3,4,$22.55,1.33,$0.00,13.33%,2.86%
Google Youth FC Zip Hoodie,2019,$90.00,2,2,$45.00,1.00,$0.00,12.32%,0.22%
Google Women's Performance Polo Grey/Black,2016,$89.99,1,1,$89.99,1.00,$0.00,15.15%,3.03%
Google Women's Colorblock Tee White,2016,$89.98,2,2,$44.99,1.00,$0.00,9.09%,9.09%
YouTube Icon Pullover Black,2019,$89.98,2,2,$44.99,1.00,$0.00,9.31%,0.21%
Google Toddler Short Sleeve T-shirt Yellow,2017,$89.75,5,5,$17.95,1.00,$0.00,69.44%,13.89%
Go Gopher USB Drive 8GB,2016,$89.40,4,6,$14.90,1.50,$0.00,3.45%,0.60%
Ingress Enlightened Eye T-Shirt,2015,$89.30,8,8,$11.16,1.00,$0.00,5.12%,0.43%
Google Women's Tech Fleece Grey,2019,$89.00,1,1,$89.00,1.00,$0.00,14.04%,1.75%
Google Women's Tech Fleece Grey,2020,$89.00,1,1,$89.00,1.00,$0.00,19.64%,1.79%
Google Youth Tee Fruit Games Banana,2016,$88.36,4,4,$22.09,1.00,$0.00,18.75%,12.50%
Google Youth Tee Fruit Games Pineapple,2016,$88.36,4,4,$22.09,1.00,$0.00,31.11%,8.89%
Google Incognito Techpack V2,2020,$88.00,1,1,$88.00,1.00,$0.00,0.41%,0.20%
Google Magnet,2020,$88.00,5,11,$8.00,2.20,$0.00,3.96%,2.20%
Google Tee Green,2020,$88.00,4,8,$11.00,2.00,$0.00,12.38%,0.43%
Google Tee Yellow,2020,$88.00,6,8,$11.00,1.33,$0.00,17.81%,0.71%
Google Men's Discovery Lt. Rain Shell,2018,$87.99,1,1,$87.99,1.00,$0.00,5.42%,0.15%
Google Women's Discovery Lt. Rain Shell,2019,$87.99,1,1,$87.99,1.00,$0.00,11.29%,0.16%
I am Not a Robot Tee White,2019,$87.99,8,8,$11.00,1.00,$0.00,9.21%,0.23%
Men's Atlantis Full Zip Fleece Hoody,2016,$87.99,1,1,$87.99,1.00,$0.00,0.00%,0.00%
Google Shoreline Tonal Tee Maroon,2018,$87.96,4,4,$21.99,1.00,$0.00,33.38%,0.56%
Google Shoreline Tonal Tee Olive,2018,$87.96,4,4,$21.99,1.00,$0.00,37.71%,0.67%
Tech Trapper,2014,$87.75,3,3,$29.25,1.00,$0.00,0.00%,3.49%
Google Women's Ringer Tee,2020,$87.50,5,5,$17.50,1.00,$0.00,0.00%,100.00%
Google Women's Vintage Hero Tee Platinum,2016,$87.35,4,5,$17.47,1.25,$0.00,300.00%,400.00%
Google Light Pen Red,2019,$86.71,7,29,$2.99,4.14,$0.00,33.62%,1.53%
Local Guides Sticker Sheet,2016,$86.25,17,23,$3.75,1.35,$0.00,14.04%,2.25%
YouTube Tee Black,2020,$85.80,10,13,$6.60,1.30,$0.00,9.74%,0.66%
Google Pen Navy,2019,$85.75,24,49,$1.75,2.04,$0.00,39.00%,3.52%
Mens Tour Jersey,2016,$85.15,1,1,$85.15,1.00,$0.00,3.64%,0.21%
Google Men's Long Sleeve Raglan Cranberry,2016,$84.96,4,4,$21.24,1.00,$0.00,350.00%,200.00%
Android Infant Short Sleeve Tee Pink,2016,$84.94,6,6,$14.16,1.00,$0.00,19.05%,14.29%
Chrome Coaster                                    ,2014,$84.00,4,20,$4.20,5.00,$0.00,0.00%,7.02%
Women's Flex Textured Jacket,2016,$83.99,1,1,$83.99,1.00,$0.00,0.00%,0.00%
Android Hard Cover Journal,2016,$83.93,3,7,$11.99,2.33,$0.00,28.12%,4.69%
Android 4 Warhol Youth T-Shirt,2015,$83.50,5,5,$16.70,1.00,$0.00,6.88%,1.01%
Google Leather Strap Hat Red,2019,$82.98,4,5,$16.60,1.25,$0.00,28.22%,0.76%
Youth Android Parent and Child T-Shirt,2015,$81.20,4,8,$10.15,2.00,$0.00,9.30%,0.91%
YouTube Women's Racer Back Tank Black,2017,$81.15,5,5,$16.23,1.00,$0.00,125.00%,125.00%
BIC Color Pen - Pack of 3,2016,$80.40,6,24,$3.35,4.00,$0.00,13.97%,3.35%
Google Keychain,2019,$80.00,8,10,$8.00,1.25,$0.00,2.45%,4.91%
Maze Pen,2014,$80.00,1,100,$0.80,100.00,$0.00,0.00%,2.63%
Android Men's Heavyweight Long Sleeve Badge Tee Black,2017,$79.98,1,2,$39.99,2.00,$0.00,0.00%,0.00%
Google Adventure Bottle Black,2018,$79.98,2,2,$39.99,1.00,$0.00,19.52%,0.80%
Google Dino Game Tee,2019,$79.98,2,2,$39.99,1.00,$0.00,13.68%,0.42%
YouTube Kids Tee Black,2017,$79.95,5,5,$15.99,1.00,$0.00,13.72%,0.76%
Android Women's Racer Back Tank Black,2016,$79.75,5,5,$15.95,1.00,$0.00,18.03%,8.20%
Get Fit Gym Duffel,2015,$79.70,1,2,$39.85,2.00,$0.00,4.03%,0.81%
Men's Pulse Softshell,2016,$79.19,1,1,$79.19,1.00,$0.00,0.00%,0.00%
Google Clear Pen 4-Pack,2020,$79.00,7,16,$4.94,2.29,$0.00,11.11%,4.58%
Google Sherpa Vest Black,2019,$79.00,1,1,$79.00,1.00,$0.00,1.60%,0.53%
Google Women's Tech Fleece Vest Charcoal,2020,$79.00,1,1,$79.00,1.00,$0.00,0.00%,8.33%
Google Women's Short Sleeve Hero Tee Heather,2018,$78.85,14,18,$4.38,1.29,$0.00,20.37%,25.93%
20 oz. Lava Lamp,2014,$78.75,5,5,$15.75,1.00,$0.00,4.08%,10.20%
Google Tri Pen Black,2019,$78.33,5,7,$11.19,1.40,$0.00,18.81%,1.11%
Android Pay Crew Neck T-Shirt,2015,$78.30,4,4,$19.58,1.00,$0.00,8.38%,1.08%
Google Relaxed Fit Hat Navy,2020,$78.00,3,6,$13.00,2.00,$0.00,20.56%,0.85%
Google Small Cable Organizer Blue,2019,$77.74,7,26,$2.99,3.71,$0.00,18.33%,0.86%
NEW Personalized Card,2015,$77.00,22,22,$3.50,1.00,$0.00,13.21%,41.51%
Womens Android Pride T-Shirt,2015,$76.40,3,4,$19.10,1.33,$0.00,7.54%,1.19%
YouTube Women's S/S Crew Tee,2016,$75.95,5,5,$15.19,1.00,$0.00,0.00%,0.00%
Google Maps Loose Fit Bike Jersey                 ,2014,$75.60,1,1,$75.60,1.00,$0.00,0.00%,2.50%
Waze Mood Original Window Decal,2016,$75.22,14,38,$1.98,2.71,$0.00,100.00%,31.11%
Google Mens Microfleece Jacket Black,2020,$75.00,1,1,$75.00,1.00,$0.00,8.53%,0.11%
Android Dino Buddies Tee Green,2019,$74.97,3,3,$24.99,1.00,$0.00,23.53%,8.82%
Android Dino Buddies Tee Grey,2019,$74.97,3,3,$24.99,1.00,$0.00,8.60%,3.23%
Toddler Android Skateboard T-Shirt,2015,$74.90,7,7,$10.70,1.00,$0.00,11.03%,2.66%
Mind Blown Tee White,2019,$74.78,6,6,$12.46,1.00,$0.00,8.07%,0.45%
Google Infant Short Sleeve Tee Cornflower Blue,2017,$74.75,5,5,$14.95,1.00,$0.00,"1,100.00%",500.00%
Google Women's Short Sleeve V-Neck Tee Stone,2016,$74.75,5,5,$14.95,1.00,$0.00,44.30%,6.33%
Android Women's Short Sleeve Badge Tee Light Charcoal,2017,$74.43,4,5,$14.89,1.25,$0.00,0.00%,0.00%
Polished Metal Keyring,2014,$73.80,6,12,$6.15,2.00,$0.00,0.00%,24.00%
RoxBox Aqua Bluetooth Speaker,2014,$73.50,1,1,$73.50,1.00,$0.00,0.00%,1.79%
Biodegradable Pen,2015,$72.90,5,54,$1.35,10.80,$0.00,16.29%,2.26%
Android Clip Mini,2015,$72.60,5,10,$7.26,2.00,$0.00,17.00%,1.98%
Google White Force 17 oz Bottle,2017,$71.97,3,3,$23.99,1.00,$0.00,31.43%,8.57%
Google Toddler Short Sleeve T-shirt Green,2017,$71.68,6,6,$11.95,1.00,$0.00,58.62%,20.69%
Android Infant Short Sleeve Tee Aqua,2017,$71.35,5,5,$14.27,1.00,$0.00,0.00%,0.00%
Android Toddler 3D Hoodie,2014,$71.35,1,1,$71.35,1.00,$0.00,0.00%,2.08%
YouTube Organic Cotton T-Shirt - Grey             ,2014,$71.25,5,5,$14.25,1.00,$0.00,0.00%,6.49%
Scent-Sational Pencil,2015,$71.10,22,79,$0.90,3.59,$0.00,28.39%,4.59%
Youth Android Parent and Child T-Shirt,2016,$71.05,6,7,$10.15,1.17,$0.00,12.62%,2.91%
Google Adult Tee Fruit Games Cherries,2016,$70.17,3,3,$23.39,1.00,$0.00,23.94%,4.23%
Android Wall Decals,2015,$70.08,3,4,$17.52,1.33,$0.00,6.26%,0.49%
Android Coach's Jacket Black,2020,$70.00,1,2,$35.00,2.00,$0.00,10.23%,0.28%
MEGA Android,2015,$70.00,1,1,$70.00,1.00,$0.00,1.66%,0.07%
Android Sport Socks Summer 18,2019,$69.95,4,5,$13.99,1.25,$0.00,14.74%,0.48%
Google Bot,2019,$69.95,7,7,$9.99,1.00,$0.00,21.71%,0.78%
Ladies Chrome T-Shirt,2015,$69.65,5,5,$13.93,1.00,$0.00,12.68%,3.52%
Google+ Blunt Auto Umbrella,2014,$68.95,1,1,$68.95,1.00,$0.00,0.00%,2.17%
Youth Android Brushed Cap,2016,$68.60,6,7,$9.80,1.17,$0.00,17.16%,2.94%
Android Super Hero 3D Framed Art,2019,$68.00,3,3,$22.67,1.00,$0.00,10.48%,0.57%
Google Crew Striped Athletic Sock,2019,$67.98,3,4,$17.00,1.33,$0.00,25.17%,0.41%
Android Infant Short Sleeve Tee Aqua,2016,$67.95,5,5,$13.59,1.00,$0.00,6.52%,3.62%
Google Youth Tee Fruit Games Lemon,2016,$67.57,3,3,$22.52,1.00,$0.00,34.78%,13.04%
Google Youth Tee Fruit Games Strawberry,2016,$67.57,3,3,$22.52,1.00,$0.00,18.92%,8.11%
Google Hub Mug White,2017,$67.54,4,6,$11.26,1.50,$0.00,15.87%,6.35%
Android 5-Panel Low Cap,2017,$67.17,3,3,$22.39,1.00,$0.00,20.13%,1.95%
Enlightened Patch,2015,$66.30,10,72,$0.92,7.20,$0.00,29.76%,1.98%
Bella Scoop Neck Ladies T-Shirt                   ,2014,$66.25,5,5,$13.25,1.00,$0.00,1.85%,9.26%
Google Women's Eco Tee Black,2019,$65.97,3,3,$21.99,1.00,$0.00,37.70%,4.92%
Google Women's Tee F/C Black,2018,$65.97,3,3,$21.99,1.00,$0.00,44.79%,0.95%
Android Ireland Adult T-Shirt,2015,$65.60,4,4,$16.40,1.00,$0.00,10.82%,0.94%
Waze Mood Happy Window Decal,2017,$65.24,30,36,$1.81,1.20,$0.00,34.46%,11.24%
Google Camp Mug Ivory,2020,$65.00,4,5,$13.00,1.25,$0.00,8.31%,0.98%
Google Men's 3/4 Sleeve Raglan Henley Grey,2016,$64.97,3,3,$21.66,1.00,$0.00,40.00%,20.00%
Google Dad Hat Maroon,2019,$64.94,6,6,$10.82,1.00,$0.00,26.46%,2.06%
Glitter Android Ladies S/S Tee,2015,$64.65,3,3,$21.55,1.00,$0.00,8.13%,0.66%
Google Crew Socks,2020,$64.00,4,4,$16.00,1.00,$0.00,15.58%,0.46%
Henley L/S Tee,2015,$64.00,2,2,$32.00,1.00,$0.00,5.38%,0.33%
Google Women's Outpost Vest,2019,$63.99,2,2,$32.00,1.00,$0.00,12.83%,0.20%
Google Large Standard Journal Grey,2017,$63.96,1,4,$15.99,4.00,$0.00,5.26%,5.26%
YouTube Crew Socks Summer 18,2019,$63.96,3,4,$15.99,1.33,$0.00,22.50%,0.34%
Google+ Red Sticker,2015,$63.80,8,56,$1.14,7.00,$0.00,27.44%,3.01%
Racine TriBlend V-Neck T-Shirt,2015,$63.15,2,2,$31.58,1.00,$0.00,1.61%,0.15%
Neoprene Tablet Sleeve,2015,$63.00,3,14,$4.50,4.67,$0.00,11.66%,1.84%
Google Women's Kirkland Pullover,2018,$62.99,1,1,$62.99,1.00,$0.00,3.75%,1.25%
Google Large Gift Bag - Solid Color Panel,2016,$62.40,4,24,$2.60,6.00,$0.00,14.49%,5.80%
Google Flower Onesie Purple,2018,$62.37,1,3,$20.79,3.00,$0.00,51.22%,0.07%
Google Toddler Tee Fruit Games Cherries,2016,$62.37,2,3,$20.79,1.50,$0.00,10.91%,3.64%
Google Toddler Tee Fruit Games Lemon,2016,$62.37,2,3,$20.79,1.50,$0.00,7.14%,3.57%
Fleece Google Blanket,2014,$61.97,1,1,$61.97,1.00,$0.00,0.00%,2.17%
Heather Ringspun Cool T-Shirt,2015,$61.90,4,4,$15.48,1.00,$0.00,3.72%,0.25%
Google Confetti Pen White,2019,$61.25,16,35,$1.75,2.19,$0.00,37.72%,2.03%
Neon Headband 4 Pack,2014,$61.20,1,6,$10.20,6.00,$0.00,15.38%,7.69%
Waze Mood Original Window Decal,2018,$61.09,28,39,$1.57,1.39,$0.00,53.95%,7.63%
Waze Women's Short Sleeve Tee,2016,$60.76,4,4,$15.19,1.00,$0.00,36.84%,21.05%
Ladies Ingress T-Shirt                            ,2014,$60.20,2,4,$15.05,2.00,$0.00,0.00%,5.56%
Gift Card - $10.00,2017,$60.00,6,6,$10.00,1.00,$0.00,53.57%,4.29%
Google Chrome Dinosaur Collectible,2020,$60.00,2,2,$30.00,1.00,$0.00,0.38%,0.25%
Google Cup Cap Tumbler Grey,2019,$60.00,1,2,$30.00,2.00,$0.00,10.24%,0.12%
Google Flat Front Bag Grey,2020,$60.00,2,2,$30.00,1.00,$0.00,7.68%,0.11%
Google Heather Green Speckled Tee,2019,$60.00,2,2,$30.00,1.00,$0.00,15.87%,1.59%
Google Picnic Blanket,2020,$60.00,2,2,$30.00,1.00,$0.00,2.55%,0.73%
Google Tudes Recycled Tee,2020,$60.00,1,2,$30.00,2.00,$0.00,2.33%,2.33%
Google Youth FC Longsleeve Charcoal,2019,$60.00,2,2,$30.00,1.00,$0.00,13.65%,0.32%
Tag - USA,2018,$60.00,2,3,$20.00,1.50,$0.00,11.69%,2.60%
YouTube Standards Zip Hoodie Black,2020,$60.00,1,1,$60.00,1.00,$0.00,4.35%,0.21%
Google Premium Sunglasses,2019,$59.99,3,3,$20.00,1.00,$0.00,10.63%,0.22%
Men's Google Microtherm Pullover,2016,$59.99,1,1,$59.99,1.00,$0.00,0.00%,0.00%
Women's Traverse Microfleece,2016,$59.99,1,1,$59.99,1.00,$0.00,0.00%,0.00%
Google Snapback Black Cap,2019,$59.97,3,3,$19.99,1.00,$0.00,12.07%,0.20%
Speed Zone Air Mesh Tote,2016,$59.93,3,7,$8.56,2.33,$0.00,55.81%,3.49%
Ingress Resistance Symbol T-Shirt,2015,$59.55,5,6,$9.92,1.20,$0.00,5.30%,0.28%
Bic Intensity Clic Gel Pen,2016,$59.50,7,19,$3.13,2.71,$0.00,32.86%,10.00%
Ingress Resistance Key T-Shirt                    ,2014,$59.05,4,4,$14.76,1.00,$0.00,0.00%,4.35%
YouTube Men's S/S Tri-blend Crew,2016,$58.99,3,3,$19.66,1.00,$0.00,"6,466.67%",100.00%
Waze Mood Ninja Window Decal,2016,$58.50,15,30,$1.95,2.00,$0.00,36.00%,30.00%
Robert Test,2019,$58.40,2,2,$29.20,1.00,$0.00,0.00%,0.00%
Google Kick Ball,2018,$58.09,6,31,$1.87,5.17,$0.00,37.68%,8.70%
Android Garden Tee Orange,2020,$58.00,2,2,$29.00,1.00,$0.00,8.06%,1.61%
Android Pocket Tee Navy,2019,$58.00,2,2,$29.00,1.00,$0.00,14.04%,1.12%
Flamingo and Friends Tee Blue,2019,$58.00,2,2,$29.00,1.00,$0.00,1.77%,1.77%
Google Austin Campus Zip Hoodie,2019,$58.00,1,1,$58.00,1.00,$0.00,0.00%,6.25%
Google NYC Campus Zip Hoodie,2020,$58.00,1,1,$58.00,1.00,$0.00,1.59%,1.59%
Google Campus Bike Carry Pouch,2019,$57.99,5,7,$8.28,1.40,$0.00,28.41%,0.64%
Ingress Enlightened Eye T-Shirt                   ,2014,$56.90,4,4,$14.22,1.00,$0.00,0.00%,2.99%
Google Cork Base Tumbler,2019,$56.00,2,2,$28.00,1.00,$0.00,8.21%,0.10%
Google Incognito Laptop Organizer,2020,$56.00,1,1,$56.00,1.00,$0.00,1.06%,0.21%
Google Sunglasses,2020,$56.00,10,16,$3.50,1.60,$0.00,7.57%,1.99%
Google Wallet Stand Black,2019,$55.91,8,14,$3.99,1.75,$0.00,11.61%,0.25%
Unisex Google Color Block Tee White,2019,$55.10,3,3,$18.37,1.00,$0.00,12.70%,4.76%
Google Crewneck Sweatshirt Green,2019,$55.00,1,1,$55.00,1.00,$0.00,16.57%,0.19%
Google Crewneck Sweatshirt Grey,2020,$55.00,1,1,$55.00,1.00,$0.00,6.55%,0.09%
Google Pride Tote Black,2019,$55.00,4,5,$11.00,1.25,$0.00,16.99%,0.32%
Google Shoreline Tonal Crew Olive,2018,$54.99,1,1,$54.99,1.00,$0.00,21.64%,0.10%
Men's Lotus H2X Dry S/S Performance Tee,2016,$54.99,1,1,$54.99,1.00,$0.00,0.00%,0.00%
Android Twill Cap Black,2019,$54.54,5,6,$9.09,1.20,$0.00,24.51%,1.23%
YouTube 25 oz Gear Cap Bottle Black,2020,$54.00,2,2,$27.00,1.00,$0.00,6.38%,0.30%
YouTube Unstructured Cap - Charcoal               ,2014,$53.85,2,3,$17.95,1.50,$0.00,0.00%,4.76%
Google Tee Red,2017,$52.77,2,3,$17.59,1.50,$0.00,50.00%,5.26%
Google Women's Badge Performance Tee Black,2016,$52.77,3,3,$17.59,1.00,$0.00,83.33%,50.00%
Google Women's Short Sleeve Performance Tee Pewter,2016,$52.77,3,3,$17.59,1.00,$0.00,56.00%,4.00%
YouTube Kids Onesie White,2019,$52.00,6,6,$8.67,1.00,$0.00,31.07%,0.39%
Android Mug Gray,2019,$51.96,3,4,$12.99,1.33,$0.00,26.34%,0.28%
Google Recycled Notebook Set Natural,2019,$51.96,3,4,$12.99,1.33,$0.00,10.68%,0.33%
Google Beanie Olive,2019,$51.27,3,3,$17.09,1.00,$0.00,24.22%,0.72%
Google Campus Bike Corkbase Mug Blue,2020,$51.00,2,3,$17.00,1.50,$0.00,2.41%,1.20%
Google Leather Strap Hat Blue,2020,$51.00,3,3,$17.00,1.00,$0.00,21.76%,1.55%
YouTube Leather Strap Hat Black,2020,$51.00,2,3,$17.00,1.50,$0.00,15.65%,0.45%
Peerless Sueded Hoodie,2014,$50.70,1,1,$50.70,1.00,$0.00,6.98%,2.33%
Google+ Unisex Tri-Blend Hoodie,2014,$50.50,1,1,$50.50,1.00,$0.00,0.00%,2.56%
Organic Cotton Android walking with dog T-shirt   ,2014,$50.25,3,3,$16.75,1.00,$0.00,4.76%,4.76%
YouTube Women's Racer Back Tank Black,2016,$50.17,3,3,$16.72,1.00,$0.00,52.34%,2.80%
Android Monkey Mat,2015,$49.98,2,2,$24.99,1.00,$0.00,2.79%,0.62%
Android Mountains Tee,2018,$49.98,2,2,$24.99,1.00,$0.00,4.90%,0.54%
Google Large Standard Journal Navy,2019,$49.59,4,4,$12.40,1.00,$0.00,19.86%,0.27%
Google Women's Tank Top,2016,$49.37,3,3,$16.46,1.00,$0.00,30.99%,4.23%
Google Women's Performance Golf Blue,2017,$49.30,4,4,$12.32,1.00,$0.00,0.00%,0.00%
Melissa & Doug Wooden Shape Sorter                ,2014,$49.30,2,2,$24.65,1.00,$0.00,2.56%,5.13%
Ladies Gmail T-Shirt,2015,$49.20,3,3,$16.40,1.00,$0.00,7.24%,1.03%
Android Kids Aviator Fleece Beanie,2016,$48.10,2,2,$24.05,1.00,$0.00,15.38%,5.13%
Google Small Standard Journal Navy,2019,$48.07,4,4,$12.02,1.00,$0.00,22.20%,0.33%
Google Lapel Pin,2019,$48.00,3,6,$8.00,2.00,$0.00,13.13%,1.52%
Google Lapel Pin,2020,$48.00,5,6,$8.00,1.20,$0.00,13.27%,2.37%
Google Toddler Tee White,2019,$48.00,2,2,$24.00,1.00,$0.00,20.93%,0.16%
Google Youth Hero Tee Grey,2020,$48.00,2,2,$24.00,1.00,$0.00,10.53%,10.53%
Google Youth Hero Tee Maroon,2020,$48.00,2,2,$24.00,1.00,$0.00,10.53%,10.53%
YouTube Transmission Bottle Black,2019,$47.99,2,2,$24.00,1.00,$0.00,10.62%,0.05%
Android Puzzlebot v2,2019,$47.98,3,3,$15.99,1.00,$0.00,11.53%,0.34%
Android Crew Socks Summer 18,2019,$47.97,3,3,$15.99,1.00,$0.00,25.16%,0.62%
Google Leather Strap Hat Black,2019,$47.97,3,3,$15.99,1.00,$0.00,23.05%,0.30%
Google Red Spiral Notebook,2017,$47.94,1,6,$7.99,6.00,$0.00,28.57%,14.29%
The Fleece Full-Zip Hoodie,2014,$47.85,1,1,$47.85,1.00,$0.00,0.00%,2.38%
Men's Vintage Heather T-shirt                     ,2014,$47.55,3,3,$15.85,1.00,$0.00,7.46%,4.48%
