# ----------------------------------------
# 1 Master View
# Product Performance
# 20141001-20200229
# ----------------------------------------

Product,Year,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Cart-to-Detail Rate,Buy-to-Detail Rate
Men's Weatherblock Shell Jacket Black,2017,"$5,772.90",111,119,$48.51,1.07,$0.00,0.00%,0.00%
YouTube Men's Short Sleeve Hero Tee Charcoal,2017,"$5,763.09",160,331,$17.41,2.07,$0.00,61.68%,13.45%
Google RFID Journal,2017,"$5,678.71",134,763,$7.44,5.69,$0.00,30.46%,10.52%
Android Baby Esssentials Set,2017,"$5,671.53",6,239,$23.73,39.83,$0.00,0.00%,0.00%
Short Sleeve Crew Neck Raglan,2016,"$5,652.80",261,430,$13.15,1.65,$0.00,33.15%,9.75%
Google Leather Journal-Black,2017,"$5,627.41",47,317,$17.75,6.74,$0.00,0.00%,0.00%
22 oz. Mini Mountain Bottle,2016,"$5,583.60",356,"2,068",$2.70,5.81,$0.00,64.57%,26.39%
Women's Performance Full Zip Jacket Black,2017,"$5,569.67",76,81,$68.76,1.07,$0.00,22.73%,345.45%
Badge Holder,2017,"$5,555.11",254,"2,849",$1.95,11.22,$0.00,52.01%,21.24%
YouTube Player T-Shirt - Unisex,2016,"$5,548.85",154,311,$17.84,2.02,$0.00,15.77%,2.61%
Wind Up Android,2016,"$5,540.25",174,"1,530",$3.62,8.79,$0.00,25.58%,8.71%
Google Spiral Leather Journal,2017,"$5,521.70",45,520,$10.62,11.56,$0.00,59.21%,29.61%
Google Women's Yoga Jacket Black,2017,"$5,520.44",92,109,$50.65,1.18,$0.00,28.01%,8.45%
Google Tri-blend Hoodie Grey,2016,"$5,502.49",92,151,$36.44,1.64,$0.00,23.89%,7.69%
1 oz Hand Sanitizer,2016,"$5,501.36",147,"2,864",$1.92,19.48,$0.00,57.87%,24.10%
Galaxy Screen Cleaning Cloth,2016,"$5,479.33",105,"2,867",$1.91,27.30,$0.00,58.96%,19.59%
G Logo White T-Shirt,2016,"$5,466.50",167,414,$13.20,2.48,$0.00,26.76%,7.27%
24 oz USA Made Aluminum Bottle,2015,"$5,459.90",40,758,$7.20,18.95,$0.00,25.32%,4.62%
Android Tone Hoodie Black,2018,"$5,442.18",98,107,$50.86,1.09,$0.00,17.00%,1.75%
24 oz YouTube Sergeant Stripe Bottle,2017,"$5,430.67",90,773,$7.03,8.59,$0.00,33.80%,6.06%
Google Men's Quilted Insulated Vest Black,2016,"$5,369.17",76,83,$64.69,1.09,$0.00,25.45%,8.52%
Gift Card- $100.00,2017,"$5,300.00",49,53,$100.00,1.08,$0.00,37.18%,8.43%
Globetrotter Backpack,2015,"$5,278.20",76,114,$46.30,1.50,$0.00,8.32%,1.28%
Google Tube Power Bank,2016,"$5,276.71",48,349,$15.12,7.27,$0.00,18.14%,5.58%
Google Leather Journal-Brown,2017,"$5,180.70",41,260,$19.93,6.34,$0.00,0.00%,0.00%
The Original Black T-Shirt,2015,"$5,176.90",140,306,$16.92,2.19,$0.00,23.54%,2.80%
Google Maps T-Shirt,2016,"$5,171.35",166,280,$18.47,1.69,$0.00,17.42%,4.40%
Galaxy Screen Cleaning Cloth,2017,"$5,165.28",127,"2,792",$1.85,21.98,$0.00,52.07%,18.17%
Round Portable Metal Charger,2016,"$5,152.80",63,456,$11.30,7.24,$0.00,12.98%,4.78%
Color Pop Gift Bag - Small,2016,"$5,150.25",44,"2,289",$2.25,52.02,$0.00,40.00%,18.72%
Recycled Mouse Pad,2017,"$5,149.80",259,"3,677",$1.40,14.20,$0.00,62.41%,13.89%
Google Twill Sandwich Cap Navy,2018,"$5,143.28",194,472,$10.90,2.43,$0.00,40.93%,8.69%
24oz Tritan Salute w/ Flip Straw Lid,2015,"$5,127.10",145,869,$5.90,5.99,$0.00,30.80%,10.81%
Reusable Shopping Bag,2016,"$5,126.10",97,"1,589",$3.23,16.38,$0.00,42.98%,17.23%
Google Laptop Backpack,2016,"$5,119.42",49,58,$88.27,1.18,$0.00,9.17%,2.34%
24 oz YouTube Sergeant Stripe Bottle,2016,"$5,071.16",110,724,$7.00,6.58,$0.00,53.23%,14.21%
Learning Thermostat 3rd Gen-USA - Stainless Steel,2018,"$5,066.00",28,34,$149.00,1.21,$0.00,47.33%,1.37%
Skyline Metro Mug,2016,"$5,041.60",132,578,$8.72,4.38,$0.00,21.43%,4.97%
Prop Device Cradle,2016,"$5,037.00",381,"1,765",$2.85,4.63,$0.00,28.38%,8.18%
Google Laptop and Cell Phone Stickers,2016,"$5,034.12",457,"2,868",$1.76,6.28,$0.00,56.63%,14.46%
Google Men's Quilted Insulated Vest Battleship Grey,2017,"$5,016.51",95,122,$41.12,1.28,$0.00,17.60%,6.63%
Basic Black T-Shirt,2015,"$5,016.30",214,291,$17.24,1.36,$0.00,24.63%,6.63%
