Rank,Company Name,Number of Employees,Previous Rank,Revenues ($m),Revenue Change,Profits ($m),Profit Change,Assets ($m),Market Value ($m)
430,Avery Dennison,25000,435.0,6087,2.0%,320.7,16.9%,4396,7157
431,Ameren,8629,425.0,6076,-0.4%,653.0,3.7%,24699,13245
432,Hanesbrands,67800,448.0,6063,5.8%,539.4,25.8%,6908,7733
433,Motorola Solutions,14000,451.0,6038,6.0%,560.0,-8.2%,8463,14131
434,St. Jude Medical,18000,465.0,6004,8.4%,734.0,-16.6%,12578,-
435,Harley-Davidson,6000,432.0,5997,-,692.2,-8.0%,9890,10626
436,Regions Financial,22166,453.0,5967,5.2%,1163.0,9.5%,125968,17512
437,Intercontinental Exchange,5631,529.0,5958,27.3%,1422.0,11.6%,82003,35530
438,Alaska Air Group,19112,459.0,5931,5.9%,814.0,-4.0%,9962,11407
439,Old Republic International,8500,442.0,5901,2.3%,466.9,10.6%,18592,5382
440,Lam Research,7500,491.0,5886,11.9%,914.0,39.4%,12272,20903
441,AK Steel Holding,8500,383.0,5883,-12.1%,-7.8,-,4036,2263
442,Rockwell Automation,22000,412.0,5880,-6.8%,729.7,-11.8%,7101,20024
443,Adobe Systems,15706,524.0,5854,22.1%,1168.8,85.7%,12707,64375
444,Avon Products,26400,370.0,5853,-18.4%,-107.6,-,3419,1933
445,Terex,18100,396.0,5841,-10.7%,-176.1,-220.7%,5007,3250
446,NVR,4900,498.0,5835,12.9%,425.3,11.1%,2644,7851
447,Dana Holding,24900,428.0,5826,-3.9%,640.0,302.5%,4860,2783
448,Realogy Holdings,11800,449.0,5810,1.8%,213.0,15.8%,7421,4173
449,American Tower,4507,526.0,5786,21.3%,956.4,39.6%,30879,51921
450,Packaging Corp. of America,14000,446.0,5779,0.6%,449.6,2.9%,5777,8631
451,Citizens Financial Group,17600,486.0,5763,9.2%,1045.0,24.4%,149520,17597
452,United Rentals,12500,440.0,5762,-0.9%,566.0,-3.2%,11988,10561
453,Clorox,8000,455.0,5761,1.7%,648.0,11.7%,4518,17294
454,Genesis Healthcare,82000,457.0,5733,2.0%,-64.0,-,5779,408
455,M&T Bank Corp.,16487,510.0,5722,14.5%,1315.1,21.8%,123449,23792
456,Ingredion,11000,456.0,5704,1.5%,484.9,20.6%,5782,8646
457,UGI,13105,384.0,5686,-15.0%,364.7,29.8%,10847,8543
458,Owens Corning,16000,480.0,5677,6.1%,393.0,19.1%,7741,6910
459,S&P Global,20000,481.0,5661,6.6%,2106.0,82.2%,8669,33805
460,Markel,10900,476.0,5612,4.5%,455.7,-21.8%,25875,13623
461,Wyndham Worldwide,37800,466.0,5599,1.1%,611.0,-0.2%,9819,8829
462,Arthur J. Gallagher,24790,471.0,5595,3.8%,414.4,16.1%,11490,10148
463,Burlington Stores,40000,500.0,5591,9.0%,215.9,43.5%,2575,6836
464,First American Financial,19531,497.0,5576,7.7%,343.0,19.1%,8832,4332
465,Symantec,11000,400.0,5568,-14.4%,2488.0,183.4%,11767,18986
466,Patterson,7000,559.0,5555,27.0%,187.2,-16.2%,3521,4393
467,Olin,6400,761.0,5551,94.5%,-3.9,-,8763,5444
468,NetApp,12030,422.0,5546,-9.4%,229.0,-59.1%,10037,11339
469,Raymond James Financial,11900,482.0,5520,4.0%,529.4,5.4%,31594,10958
470,TravelCenters of America,20259,439.0,5511,-5.8%,-2.0,-107.3%,1660,241
471,Fiserv,23000,492.0,5505,4.8%,930.0,30.6%,9743,24741
472,Host Hotels & Resorts,220000,472.0,5488,1.9%,762.0,36.6%,11408,13794
473,Insight Enterprises,5930,474.0,5486,2.1%,84.7,11.7%,2219,1458
474,Mattel,32000,450.0,5457,-4.3%,318.0,-13.9%,6494,8770
