rank,title,Previous Rank,Revenues ($M),Revenue Change,Profits ($M),Profit Change,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
184,Colgate-Palmolive,182,15454 ,1.70%,2024.00 ,-17.10%,12676 ,62607 ,35900,Ian M. Cook,"Chairman, President &  Chief Executive Officer",Household Products,Household and Personal Products,24,New York,NY,40.7127753,-74.0059728
185,American Electric Power,167,15425 ,-5.80%,1912.60 ,213.10%,64729 ,33766 ,17666,Nicholas K. Akins,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Columbus,OH,39.9611755,-82.9987942
186,XPO Logistics,191,15381 ,5.20%,340.20 ,393.00%,12602 ,12210 ,95000,Bradley S. Jacobs,Chairman &  Chief Executive Officer,Transportation,Transportation and Logistics,3,Greenwich,CT,41.0262417,-73.62819640000001
187,Goodyear Tire & Rubber,184,15377 ,1.40%,346.00 ,-72.60%,17064 ,6392 ,64000,Richard J. Kramer,"Chairman, President &  Chief Executive Officer",Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Akron,OH,41.081444700000006,-81.51900529999999
188,Omnicom Group,179,15274 ,-0.90%,1088.40 ,-5.20%,24931 ,16734 ,77300,John D. Wren,"President, Chief Executive Officer &  Director",Business Services,"Advertising, marketing",22,New York,NY,40.7127753,-74.0059728
189,CDW,199,15192 ,8.70%,523.00 ,23.20%,6957 ,10717 ,8726,Thomas E. Richards,"Chairman, President &  Chief Executive Officer",Technology,Information Technology Services,14,Lincolnshire,IL,42.190024900000004,-87.90840390000001
190,Sherwin-Williams,236,14984 ,26.40%,1772.30 ,56.50%,19958 ,36899 ,52695,John G. Morikis,"Chairman, President &  Chief Executive Officer",Chemicals,Chemicals,24,Cleveland,OH,41.499320000000004,-81.6943605
191,PPG Industries,183,14967 ,-1.40%,1591.00 ,81.40%,16538 ,27824 ,47200,Michael H. McGarry,Chairman &  Chief Executive Officer,Chemicals,Chemicals,24,Pittsburgh,PA,40.440624799999995,-79.9958864
192,Texas Instruments,206,14961 ,11.90%,3682.00 ,2.40%,17642 ,102135 ,29714,Brian T. Crutcher,"Chairman, President &  Chief Executive Officer",Technology,Semiconductors and Other Electronic Components,24,Dallas,TX,32.7766642,-96.7969879
193,C.H. Robinson Worldwide,212,14869 ,13.10%,504.90 ,-1.70%,4236 ,13153 ,15074,John P. Wiehoff,"Chairman, President &  Chief Executive Officer",Transportation,Transportation and Logistics,17,Eden Prairie,MN,44.8546856,-93.470786
194,WestRock,190,14860 ,1.00%,708.20 ,-,25089 ,16372 ,44800,Steven C. Voorhees,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",7,Atlanta,GA,33.7489954,-84.3879824
195,Cognizant Technology Solutions,205,14810 ,9.80%,1504.00 ,-3.20%,15221 ,47338 ,260000,Francisco D'Souza,Chairman &  Chief Executive Officer,Technology,Information Technology Services,8,Teaneck,NJ,40.8932469,-74.0116536
196,Newell Brands,208,14742 ,11.10%,2748.80 ,420.80%,33136 ,12363 ,49000,Michael B. Polk,Chairman &  Chief Executive Officer,Household Products,"Home Equipment, Furnishings",23,Hoboken,NJ,40.7439905,-74.0323626
197,CBS,193,14710 ,2.30%,357.00 ,-71.70%,20843 ,19668 ,14715,Leslie Moonves,"Chairman, President &  Chief Executive Officer",Media,Entertainment,24,New York,NY,40.7127753,-74.0059728
198,Envision Healthcare,538,14701 ,220.40%,(228.00),-,16573 ,4647 ,57750,Christopher A. Holden,"President, Chief Executive Officer &  Director",Health Care,Health Care: Pharmacy and Other Services,1,Nashville,TN,36.1626638,-86.78160159999999
199,Monsanto,204,14640 ,8.40%,2260.00 ,69.20%,21333 ,51444 ,21900,Hugh Grant,Chairman &  Chief Executive Officer,Chemicals,Chemicals,15,St. Louis,MO,38.6270025,-90.1994042
200,Aramark,192,14604 ,1.30%,373.90 ,29.90%,11006 ,9725 ,215000,Eric J. Foss,"Chairman, President &  Chief Executive Officer",Business Services,Diversified Outsourcing Services,24,Philadelphia,PA,39.9525839,-75.1652215
201,Applied Materials,265,14537 ,34.30%,3434.00 ,99.50%,19419 ,58429 ,18400,Gary E. Dickerson,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,23,Santa Clara,CA,37.354107899999995,-121.9552356
202,Waste Management,201,14485 ,6.40%,1949.00 ,64.90%,21829 ,36372 ,42300,James C. Fish Jr.,"President, Chief Executive Officer &  Director",Business Services,Waste Management,20,Houston,TX,29.7604267,-95.36980279999999
203,DISH Network,186,14391 ,-4.70%,2098.70 ,44.80%,29774 ,17682 ,17000,W. Erik Carlson,"President, Chief Executive Officer &  Director",Telecommunications,Telecommunications,17,Englewood,CO,39.647765299999996,-104.98775970000001
204,Illinois Tool Works,202,14314 ,5.30%,1687.00 ,-17.10%,16780 ,53142 ,50000,E. Scott Santi,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,24,Glenview,IL,42.069750899999995,-87.7878408
205,Lincoln National,207,14257 ,7.00%,2079.00 ,74.40%,281763 ,15946 ,9047,Dennis R. Glass,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (stock)",24,Wayne,PA,40.0462208,-75.3599105
206,HollyFrontier,274,14251 ,35.30%,805.40 ,-,10692 ,8650 ,3522,George J. Damiris,"President, Chief Executive Officer &  Director",Energy,Petroleum Refining,11,Dallas,TX,32.7766642,-96.7969879
207,CBRE Group,214,14210 ,8.70%,691.50 ,20.90%,11484 ,16042 ,80000,Robert E. Sulentic,"President, Chief Executive Officer &  Director",Financials,Real estate,11,Los Angeles,CA,34.0522342,-118.24368490000002
208,Textron,200,14198 ,3.00%,307.00 ,-68.10%,15340 ,15293 ,37000,Scott C. Donnelly,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Providence,RI,41.8239891,-71.4128343
209,Ross Stores,219,14135 ,9.90%,1362.80 ,21.90%,5722 ,29800 ,82700,Barbara Rentler,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,16,Dublin,CA,37.7021521,-121.9357918
210,Principal Financial,227,14093 ,13.70%,2310.40 ,75.50%,253941 ,17643 ,15378,Daniel J. Houston,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,Des Moines,IA,41.600544799999994,-93.6091064
211,D.R. Horton,232,14091 ,15.90%,1038.40 ,17.20%,12185 ,16480 ,7735,David V. Auld,"President, Chief Executive Officer &  Director",Engineering &  Construction,Homebuilders,16,Arlington,TX,32.735687,-97.10806559999999
